"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.459976263E0,-1.956707239E-2,2.055233717E-2,-2.680873871E-2
1.469986029E0,4.246562719E-3,4.530727863E-3,-1.168346405E-2
1.479995794E0,3.716820478E-2,7.147729397E-3,-1.101875305E-2
1.490036078E0,-1.547405124E-2,-4.722535610E-3,-1.041889191E-2
1.500045843E0,-1.533743739E-2,2.464354038E-3,1.325988770E-2
1.510055609E0,-3.849703074E-2,-1.332879066E-2,9.104728699E-3
1.520126410E0,-1.426726580E-2,-1.550316811E-4,1.904106140E-2
1.530136175E0,-2.791082859E-2,1.236903667E-2,3.375053406E-2
1.540145941E0,1.051482558E-2,1.108145714E-2,5.272388458E-2
1.550155707E0,6.695246696E-2,5.299603939E-2,1.944541931E-2
1.560165472E0,-2.562701702E-4,3.787910938E-2,-3.682136536E-3
1.570205755E0,-9.812474251E-3,1.287603378E-2,-2.169704437E-2
1.580246039E0,-4.256069660E-2,-3.538846970E-2,-3.036403656E-2
1.590255804E0,-2.787488699E-2,1.072323322E-2,-3.402423859E-2
1.600296087E0,-2.265185118E-2,2.187776566E-2,-1.381874084E-2
1.610305853E0,1.093700528E-2,2.266800404E-2,-3.226661682E-2
1.620315619E0,5.934357643E-3,4.650735855E-2,-3.128719330E-2
1.630325384E0,5.679368973E-3,3.020226955E-3,-1.757621765E-3
1.640365668E0,2.461120486E-2,-1.647758484E-2,3.152751923E-2
1.650375433E0,1.524466276E-2,2.618700266E-2,-2.034187317E-3
1.660415716E0,1.038458943E-2,4.541915655E-2,7.419013977E-2
1.670425482E0,-4.102855921E-3,-9.553849697E-3,8.307170868E-2
1.680435248E0,2.437210083E-2,-1.971834898E-2,3.985214233E-2
1.690475531E0,-2.321273088E-2,2.829605341E-2,2.104473114E-2
1.700485296E0,-3.696066141E-2,-4.358291626E-3,3.096008301E-2
1.710525580E0,1.052772999E-2,-1.281017065E-2,-1.585388184E-2
1.720535345E0,-3.811955452E-3,6.783664227E-3,-3.349781036E-2
1.730575628E0,-5.092006922E-2,1.167130470E-2,-1.331901550E-2
1.740585394E0,1.139587164E-2,-1.689755917E-2,-7.649421692E-3
1.750595160E0,1.615726948E-2,1.751911640E-2,5.970478058E-2
1.760604925E0,-7.650911808E-3,9.501278400E-3,5.020618439E-2
1.770614691E0,-1.232659817E-2,7.328629494E-3,3.142929077E-2
1.780654974E0,-4.058250785E-2,2.519512177E-2,4.148674011E-2
1.790664740E0,-1.655372977E-2,3.858566284E-2,-5.228137970E-2
1.800705023E0,-1.127237082E-2,1.862454414E-2,-1.260566711E-2
1.810745306E0,1.260456443E-2,-6.511509418E-3,-2.049922943E-2
1.820755072E0,1.247215271E-2,5.324596167E-2,-3.747367859E-2
1.830774990E0,1.686599851E-2,-2.679467201E-3,-3.079414368E-2
1.840815274E0,-1.172253489E-2,-1.152527332E-2,-4.339027405E-2
1.850825039E0,-2.000987530E-3,1.197659969E-2,5.726814270E-3
1.860865322E0,-3.023764491E-2,2.100229263E-3,-7.414817810E-3
1.870875088E0,-6.095618010E-3,1.137280464E-2,1.240348816E-2
1.880884854E0,-2.960762382E-2,2.559912205E-2,-5.801200867E-3
1.890894619E0,-1.070323586E-2,2.060127258E-2,2.854537964E-2
1.900934903E0,-1.109719276E-3,6.388664246E-3,3.410816193E-2
1.910975186E0,8.367896080E-3,1.574778557E-2,-4.096984863E-2
1.920984951E0,-5.878299475E-3,-3.762960434E-3,-1.095962524E-2
1.930994717E0,-1.110672951E-3,-2.402293682E-2,-5.724143982E-2
1.941035000E0,8.177161217E-3,3.130447865E-2,1.425743103E-3
1.951075283E0,-1.441717148E-3,1.496672630E-2,2.115345001E-2
1.966028897E0,2.281200886E-2,4.238009453E-3,1.659965515E-2
1.976038662E0,1.749226451E-2,4.951834679E-3,4.119396210E-2
1.986109463E0,1.244214177E-2,1.572835445E-2,-1.030349731E-2
1.996149746E0,7.492899895E-3,1.699757576E-2,1.015090942E-2
2.006159512E0,1.656749845E-2,4.373908043E-3,3.983402252E-2
2.016199795E0,-1.680347323E-2,4.438400269E-2,2.651691437E-2
2.026209561E0,-7.406979799E-3,1.317560673E-2,6.063079834E-2
2.036219326E0,1.615417004E-2,1.209855080E-2,4.354476929E-3
2.046259610E0,-7.619708776E-3,1.625752449E-2,1.555538177E-2
2.056269375E0,-2.739638090E-3,2.027130127E-2,-2.105903625E-2
2.066309658E0,-2.153599262E-2,1.879954338E-2,-4.765796661E-2
2.076319424E0,2.168741822E-2,2.113163471E-2,-6.915378571E-2
2.086359707E0,-2.139464021E-2,-5.378878117E-2,-4.771041870E-2
2.096369473E0,-1.857012510E-3,-1.077318192E-2,-3.144454956E-2
2.106409756E0,-1.781255007E-3,-6.894588470E-3,-2.511787415E-2
2.116419522E0,-4.445788264E-2,2.506983280E-2,1.416683197E-2
2.126429287E0,-1.535484195E-2,2.883613110E-2,1.483249664E-2
2.136469571E0,-3.403270245E-2,-2.781271935E-2,1.571178436E-2
2.146479336E0,2.787631750E-2,2.538871765E-2,4.056835175E-2
2.156489102E0,8.690506220E-3,-7.532596588E-3,-6.122589111E-3
2.166529385E0,-1.493266225E-2,-3.522253036E-2,4.947662354E-3
2.176539151E0,-2.413597703E-2,1.279604435E-2,2.980041504E-2
2.186579434E0,-2.384394407E-2,-1.533377171E-2,-4.506874084E-2
2.196589199E0,-1.377460361E-2,3.905534744E-3,-2.426719666E-2
2.206598965E0,9.975463152E-3,2.776956558E-2,1.034736633E-3
2.216639248E0,-1.371920109E-2,2.250146866E-2,-2.249717712E-3
2.226649014E0,-8.793145418E-3,2.694308758E-2,1.315307617E-2
2.236658780E0,-1.801067591E-2,1.225197315E-2,2.400779724E-2
2.246668545E0,-3.617912531E-3,-2.444028854E-3,2.042388916E-2
2.256708828E0,3.443959355E-2,-1.213645935E-2,-4.487991333E-2
2.266749112E0,4.395380616E-2,1.735091209E-3,-2.353191376E-2
2.276758877E0,7.158890367E-2,-2.288234234E-2,2.539539337E-2
2.286799160E0,3.243023157E-2,-4.423260689E-3,5.470275879E-2
2.296808926E0,8.055746555E-3,3.767991066E-2,3.646659851E-2
2.306818692E0,-2.508223057E-2,4.624068737E-2,2.784824371E-2
2.316828457E0,-4.344856739E-2,3.089606762E-2,4.784965515E-2
2.326868740E0,-2.874669433E-2,2.131533623E-2,-4.137611389E-2
2.336878506E0,-4.248470068E-2,3.495419025E-2,-2.522277832E-2
2.346888272E0,-6.085634232E-2,9.584069252E-3,-4.711055756E-2
2.356928555E0,-2.187547088E-2,-1.615417004E-2,-7.372474670E-2
2.366968838E0,6.407260895E-3,-4.694581032E-3,1.392173767E-2
2.376978604E0,-1.760262251E-2,1.199615002E-2,3.792667389E-2
2.386988369E0,1.512706280E-3,1.592588425E-2,1.049375534E-1
2.396998135E0,2.047699690E-2,-1.912951469E-3,6.212329865E-2
2.407038418E0,1.015755534E-2,-2.227914333E-2,8.250236511E-2
2.422053067E0,-3.247797489E-2,-1.610469818E-2,9.175300598E-3
2.432062832E0,-4.621019959E-2,2.541756630E-2,-9.284305573E-2
2.442133633E0,6.430447102E-3,3.566741943E-3,-5.629634857E-2
2.452143399E0,-3.073096275E-3,-1.956820488E-2,-3.467178345E-2
2.462183682E0,-1.698732376E-2,1.315891743E-2,-3.243732452E-2
2.472193447E0,3.514626622E-2,6.560444832E-3,-1.166915894E-2
2.482203213E0,1.693636179E-3,-1.697540283E-4,-2.434253693E-2
2.492212979E0,-3.111481667E-3,1.665508747E-2,-8.362770081E-3
2.502222744E0,1.626968384E-3,1.938140392E-2,1.673698425E-2
2.512263028E0,1.130229235E-2,3.102767467E-2,-1.158714294E-3
2.522272793E0,3.029796481E-2,-3.902912140E-4,-4.683494568E-3
2.532313076E0,1.107731462E-2,-8.364319801E-3,-2.240276337E-2
2.542322842E0,1.560422778E-2,1.658225060E-2,2.133750916E-2
2.552363125E0,-3.758937120E-3,1.797974110E-2,2.675914764E-2
2.562403408E0,-3.243324161E-2,1.457667351E-2,4.163932800E-2
2.572413174E0,5.703806877E-3,1.251995564E-2,2.787971497E-2
2.582422940E0,-3.809899092E-3,-7.876515388E-3,4.796981812E-2
2.592432705E0,-3.873854876E-3,1.025593281E-2,-1.271438599E-2
2.602472989E0,1.045507193E-2,-4.846215248E-3,-2.541446686E-2
2.612513272E0,1.489263773E-2,4.134297371E-3,4.850387573E-3
2.622523037E0,1.916632056E-2,2.247297764E-2,2.529335022E-2
2.632532803E0,-2.837181091E-2,8.119344711E-3,2.790451050E-3
2.642542569E0,-2.791488171E-2,-1.013553143E-2,4.261016846E-2
2.652552334E0,-1.817312837E-2,2.906715870E-2,-1.295948029E-2
2.662592617E0,1.987415552E-2,3.006446362E-2,-2.486896515E-2
2.672632901E0,5.474448204E-3,-1.148414612E-2,6.077766418E-3
2.682642666E0,1.001179218E-2,-9.226799011E-5,-4.872417450E-2
2.692652432E0,4.804491997E-3,-8.018612862E-3,-1.763534546E-2
2.702692715E0,-9.557247162E-3,1.239764690E-2,1.787948608E-2
2.712702481E0,1.913219690E-2,-5.024671555E-4,2.932262421E-2
2.722712246E0,9.402722120E-3,4.909074306E-2,3.112506866E-2
2.732752530E0,1.389887929E-2,-5.080819130E-3,3.286838531E-2
2.742762295E0,-1.921623945E-2,1.759374142E-2,2.551841736E-2
2.752772061E0,-5.084872246E-3,-1.144480705E-2,2.774715424E-2
2.762812344E0,-2.370730042E-2,3.552854061E-2,-5.999374390E-2
2.772822110E0,-4.332810640E-3,1.533722878E-2,-6.108093262E-2
2.782862393E0,-1.392322779E-2,-9.652376175E-4,-5.764198303E-2
2.792872158E0,-1.369324327E-2,5.957245827E-3,-4.456233978E-2
2.802881924E0,-3.944367170E-3,-2.148115635E-2,-1.828002930E-2
2.812922207E0,1.487210393E-2,-1.077294350E-3,-2.542591095E-2
2.822931973E0,9.975224733E-3,2.883625031E-2,5.461692810E-3
2.832941739E0,-4.298955202E-3,3.481400013E-2,4.101657867E-2
2.842982022E0,3.397732973E-2,-2.985739708E-2,5.191898346E-2
2.852991787E0,4.877865314E-3,-8.156776428E-3,1.116466522E-2
2.863032071E0,-1.923540235E-2,1.865768433E-2,5.157184601E-2
2.873041836E0,-3.292813897E-2,1.283001900E-2,7.735347748E-2
2.883051602E0,-3.233340383E-2,-5.986213684E-3,1.803684235E-2
2.893091885E0,-1.727035642E-2,3.800988197E-2,6.752014160E-3
2.903132168E0,-1.211133599E-2,1.976990700E-2,-3.298377991E-2
2.913141934E0,-3.059145808E-2,-1.220417023E-2,-2.896404266E-2
2.923182217E0,3.011494875E-3,4.534029961E-2,-7.721424103E-2
2.933191983E0,2.629590034E-2,1.584577560E-2,-6.830406189E-2
2.943201748E0,5.428206921E-2,-3.330826759E-2,-4.086399078E-2
2.953242031E0,-1.761180162E-2,4.508328438E-2,-3.279209137E-2
2.963251797E0,1.573729515E-2,8.632421494E-3,-5.345821381E-2
2.973292080E0,-8.187592030E-3,-2.273106575E-2,3.045463562E-2
2.983301846E0,-4.099419713E-2,-1.001119614E-2,4.490852356E-3
2.993311612E0,-4.993757606E-2,2.633190155E-2,-1.171588898E-2
3.003321377E0,-1.823782921E-3,-4.384994507E-3,-4.188346863E-2
3.013361660E0,-3.015860915E-2,2.146434784E-2,-5.761909485E-2
3.023401944E0,-6.113022566E-3,1.388287544E-2,-4.476451874E-2
3.033411709E0,1.265209913E-2,3.477883339E-2,6.257057190E-2
3.043421475E0,2.209097147E-2,1.308631897E-2,2.670192719E-2
3.053461758E0,-1.610869169E-2,1.584124565E-2,1.518154144E-2
3.063471524E0,7.730394602E-3,1.923704147E-2,-8.306503296E-4
3.073481289E0,2.184298635E-2,3.166413307E-2,-6.424045563E-2
3.083491055E0,1.695707440E-2,4.766726494E-2,-3.178977966E-2
3.093531338E0,1.189699769E-2,2.444314957E-2,-5.690479279E-2
3.103571621E0,6.802409887E-3,2.133846283E-4,-3.963184357E-2
3.113581387E0,6.625622511E-3,9.653806686E-3,-4.144287109E-2
3.123591153E0,-2.167290449E-2,9.186267853E-3,1.828384399E-2
3.133631436E0,-2.334833145E-3,-2.345132828E-2,2.056026459E-2
3.143641201E0,2.541363239E-3,-3.118348122E-2,-1.026344299E-2
3.153681485E0,2.113357186E-2,-5.416870117E-3,3.041553497E-2
3.163691250E0,2.080684900E-2,1.414537430E-3,-1.573562622E-4
3.173701016E0,2.031251788E-2,1.809072495E-2,4.521369934E-2
3.183741299E0,-8.335620165E-3,-1.665925980E-2,4.331398010E-2
3.193751065E0,-4.605591297E-2,2.575659752E-2,1.777744293E-2
3.203760830E0,-4.551517963E-2,5.365490913E-2,1.197624207E-2
3.213770596E0,-2.198785543E-3,3.898954391E-2,-2.701568604E-2
3.223810879E0,-1.623305678E-2,-2.268481255E-2,3.409385681E-2
3.233820645E0,-6.635129452E-3,2.149057388E-2,4.426956177E-3
3.243860928E0,-5.858415365E-2,-9.293556213E-4,-1.522541046E-2
3.253870694E0,-3.863608837E-2,-3.666639328E-3,3.175449371E-2
3.263910977E0,4.824876785E-3,8.906602859E-3,-2.095222473E-2
3.273920742E0,3.339830041E-2,1.604390144E-2,-7.780075073E-2
3.283930508E0,2.349060774E-2,-2.254724503E-3,-1.006650925E-1
3.293970791E0,2.799510956E-2,-2.268457413E-2,-1.382513046E-1
3.304011074E0,1.352927089E-2,-5.056881905E-2,-1.757297516E-1
3.314020840E0,-9.770393372E-4,-4.379296303E-2,-1.241483688E-1
3.324030606E0,8.471816778E-3,-2.064561844E-2,-1.069374084E-1
3.339014737E0,8.009672165E-3,-3.799510002E-2,-1.134891510E-1
3.349024502E0,7.984459400E-3,8.357286453E-3,-7.909202576E-2
3.359064785E0,-3.937956691E-2,-1.031970978E-2,-1.589345932E-1
3.369105069E0,-3.364217281E-2,-2.236294746E-2,-2.248411179E-1
3.379114834E0,4.636824131E-3,-3.961896896E-2,-2.103309631E-1
3.389155117E0,4.973143339E-3,9.331464767E-3,-2.208719254E-1
3.399164883E0,-1.387330890E-2,-4.678440094E-2,-1.527042389E-1
3.409205166E0,1.513534784E-2,7.522344589E-3,-1.051158905E-1
3.419214932E0,-1.818609238E-2,-5.057954788E-2,-2.238273621E-3
3.429255215E0,-3.679960966E-3,-5.697393417E-2,3.226470947E-2
3.439264981E0,-1.309195161E-2,1.299500465E-2,3.824901581E-2
3.449274746E0,-8.192211390E-3,1.787662506E-3,4.407978058E-2
3.459315030E0,-1.726201177E-2,5.095005035E-4,3.122806549E-2
3.469324795E0,-4.519432783E-2,-5.582571030E-3,-1.886558533E-2
3.479365078E0,-2.054610848E-2,-1.160907745E-2,2.143669128E-2
3.489374844E0,-2.946969867E-2,-4.183053970E-2,9.211540222E-3
3.499415127E0,1.828837395E-2,5.159068108E-2,6.816005707E-2
3.509424893E0,2.262485027E-2,2.157783508E-2,1.550607681E-1
3.519434658E0,2.229866385E-2,2.253055573E-2,1.232023239E-1
3.529474942E0,-2.039763331E-2,3.113293648E-2,1.156311035E-1
3.539515225E0,1.293769479E-2,-4.584789276E-4,5.652523041E-2
3.554499356E0,2.735096216E-2,1.209282875E-2,1.581478119E-2
3.564539639E0,1.321130991E-2,1.375675201E-3,-2.687454224E-2
3.574549405E0,1.325261593E-2,3.340291977E-2,1.177597046E-2
3.584559170E0,-1.046416163E-2,1.794505119E-2,5.047035217E-2
3.594599453E0,-1.043319702E-2,-2.062630653E-2,1.035528183E-1
3.604609219E0,-1.050066948E-2,2.858114243E-2,8.045005798E-2
3.614649502E0,-9.804368019E-4,3.625369072E-2,7.209014893E-2
3.624659268E0,2.761411667E-2,-2.124667168E-3,7.368850708E-2
3.634699551E0,3.234836459E-2,2.752947807E-2,5.136489868E-2
3.644709317E0,3.151983023E-3,-9.578347206E-3,-4.196929932E-2
3.654719082E0,3.219932318E-3,-1.412761211E-2,-2.952861786E-2
3.664759365E0,-1.448810101E-3,3.255724907E-3,-6.986808777E-2
3.674769131E0,-1.083412766E-2,-2.845513821E-2,-3.889083862E-2
3.684809414E0,-5.752742290E-3,-1.862716675E-2,-3.684043884E-3
3.694819180E0,1.348024607E-2,-4.689574242E-3,5.388927460E-2
3.704859463E0,-1.512148976E-2,-4.253864288E-3,6.870269775E-2
3.714869229E0,-1.013243198E-2,1.161408424E-2,8.299160004E-2
3.724909512E0,3.757435083E-2,4.233860970E-2,2.174949646E-2
