,,Name,Username,"User Profile","Tweet ID",Retweets,Comments,Favorites,"Is Retweet?",Date,"Tweet Text","Tweet Source","Status URL"
31,,Anginsemilirsepoysepoy,Anginsemilirse1,https://www.twitter.com/Anginsemilirse1,"ID: 1378546977483354116",72,4,956,no,"2021-04-04 03:16:26","@KemensetnegRI hahahahaha..admin sekneg kaga pake nalar. ini emangnya negara punya keluarga lu ya? acara nikahan artis masuk acara negara..","Twitter for Android",https://www.twitter.com/Anginsemilirse1/status/1378546977483354116
32,,a🅱️idZa®️,lagiaja28,https://www.twitter.com/lagiaja28,"ID: 1378556052195577863",18,2,135,no,"2021-04-04 03:52:29","@KemensetnegRI Gw cuma mau bilang...Prokes cuma berlaku tuk HRS, dan kebebasan berpendapat hanya untuk Buzzer dan para  sekutunya... Udh gitu aja !!!","Twitter for Android",https://www.twitter.com/lagiaja28/status/1378556052195577863
33,,fajar,f_jart,https://www.twitter.com/f_jart,"ID: 1378557470050635776",9,5,165,no,"2021-04-04 03:58:07","@KemensetnegRI Berhubung udah banyak yg yanya soal kerumunan dan gak dijawab, saya tanya soal amplop aja deh..Jokowi ngasih amplopnya dianggarin negara apa dari saku sendiri?Klo dari kantong negara, boleh tau gak isinya berapa?","Twitter for Android",https://www.twitter.com/f_jart/status/1378557470050635776
34,,YKS,YokoSetyoso,https://www.twitter.com/YokoSetyoso,"ID: 1378557663999488006",8,1,126,no,"2021-04-04 03:58:54","@KemensetnegRI Berlaku Adillah kalian, karena Adil itu lebih dekat kepada Taqwa","Twitter for Android",https://www.twitter.com/YokoSetyoso/status/1378557663999488006
35,,🅰️.H.🅿️,ahape1987,https://www.twitter.com/ahape1987,"ID: 1378557891490181120",7,1,82,no,"2021-04-04 03:59:48","@KemensetnegRI Bebaskan IBHRS...Klo mau adil,bebaskan IBHRSatau tindak lanjuti &amp; pidanakan yg hadir di acara atta &amp; aurel","Twitter for Android",https://www.twitter.com/ahape1987/status/1378557891490181120
36,,KarangBatu2020,XingaDarat2020,https://www.twitter.com/XingaDarat2020,"ID: 1378560397272227843",19,0,404,no,"2021-04-04 04:09:45","@KemensetnegRI Ciye.... Ketidakadilan sedang dipertontonkan ke publik. Ciyeee.. 😂😅😁😄✌","Twitter Web App",https://www.twitter.com/XingaDarat2020/status/1378560397272227843
37,,JaggerKAWE@,Bastian83Bryan,https://www.twitter.com/Bastian83Bryan,"ID: 1378562610556067841",38,1,632,no,"2021-04-04 04:18:33","@KemensetnegRI Gk malu yh, Ngeshare Photo like this' di tengah Pandemik Covid19 yg penanganannya Amburadul ' Woy .. Ingat prokes "" Social Distancing 🙄","Twitter for Android",https://www.twitter.com/Bastian83Bryan/status/1378562610556067841
38,,"Sekar izza",izza_sekar,https://www.twitter.com/izza_sekar,"ID: 1378567386803015682",2,1,28,no,"2021-04-04 04:37:32","@KemensetnegRI Tolong Habib Rizieq Shihab dibebaskan 😭😭🙏🙏","Twitter for Android",https://www.twitter.com/izza_sekar/status/1378567386803015682
39,,"Farrah Salim",SalimFarrah,https://www.twitter.com/SalimFarrah,"ID: 1378567768266563585",1911,88,10870,no,"2021-04-04 04:39:03","@KemensetnegRI Terima kasih Atta-Aurel telah menunjukkan kepada rakyat tentang posisi hukum dan keadilan di negeri ini.","Twitter for Android",https://www.twitter.com/SalimFarrah/status/1378567768266563585
40,,Gus_Herd,AgusHerd,https://www.twitter.com/AgusHerd,"ID: 1378569726742302728",9,4,104,no,"2021-04-04 04:46:50","@KemensetnegRI Diposting diakun sesneg. Mantap betul negeri ini. Tak malu bangsat!","Twitter for Android",https://www.twitter.com/AgusHerd/status/1378569726742302728
41,,moec'ha_32,moechaaliem,https://www.twitter.com/moechaaliem,"ID: 1378571046316478465",415,42,3272,no,"2021-04-04 04:52:04","@KemensetnegRI Asem lah akun setneg malah ngepost beginian 🤣Jdi keliatan kan kualitas pemimpin kita sebatas saksi nikahan doang. HahaKalau hadir sebagai seorang Jokowi dan tanpa embel"" atribut presiden ya fine"" aja, lhaa ini sampai dipost ama akun setneg, kan bangke 🤣","Twitter for Android",https://www.twitter.com/moechaaliem/status/1378571046316478465
42,,"Ozy Mo",Ozy_MoTo,https://www.twitter.com/Ozy_MoTo,"ID: 1378572606001934339",50,25,764,no,"2021-04-04 04:58:16","@KemensetnegRI Mending didelet aja deh… ini bukan acara resmi kenegaraan kan? Mereka hadir sbg pribadi, bukan pejabat negara, min… sadar lah","Twitter for iPhone",https://www.twitter.com/Ozy_MoTo/status/1378572606001934339
43,,"Yauda iyaa",demikeswa,https://www.twitter.com/demikeswa,"ID: 1378572887901102082",1,1,6,no,"2021-04-04 04:59:23","@KemensetnegRI Waww terima kasih, keluarga besarku mesti tau info berharga ini. https://t.co/YL2lbbyN17","Twitter for Android",https://www.twitter.com/demikeswa/status/1378572887901102082
44,,"Extra Time Indonesia",idextratime,https://www.twitter.com/idextratime,"ID: 1378573758177271808",5,1,80,no,"2021-04-04 05:02:51","@KemensetnegRI si penting","Twitter Web App",https://www.twitter.com/idextratime/status/1378573758177271808
45,,NEGATIF,mrizalp_,https://www.twitter.com/mrizalp_,"ID: 1378575131983765504",97,3,351,no,"2021-04-04 05:08:18","@KemensetnegRI Sarat dan ketentuan berlaku 😬 https://t.co/0GpN3AlhMV","Twitter for Android",https://www.twitter.com/mrizalp_/status/1378575131983765504
46,,aliy,onlimew,https://www.twitter.com/onlimew,"ID: 1378576647306145799",0,5,24,no,"2021-04-04 05:14:20","@KemensetnegRI ga penting banget. adminnya stupid","Twitter for iPhone",https://www.twitter.com/onlimew/status/1378576647306145799
