"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.979168231E0,-3.806780577E-1,-2.413355350E0,9.330204010E0
2.989208459E0,-3.088520169E-1,-2.549824715E0,9.581595421E0
2.999279205E0,-3.663128614E-1,-2.533065319E0,9.677363396E0
3.009319433E0,-3.399766386E-1,-2.439691544E0,9.701305389E0
3.019390179E0,-3.208230138E-1,-2.406172752E0,9.730035782E0
3.029430408E0,-3.543418646E-1,-2.384624958E0,9.718064308E0
3.039501154E0,-3.256114423E-1,-2.348711967E0,9.703699112E0
3.049541382E0,-3.160346150E-1,-2.272097349E0,9.698910713E0
3.059612128E0,-3.256114423E-1,-2.243366957E0,9.691728592E0
3.069652356E0,-3.711012602E-1,-2.207453966E0,9.634267807E0
3.079723102E0,-3.974374831E-1,-2.219424963E0,9.557653427E0
3.089763330E0,-3.806780577E-1,-2.173935175E0,9.653421402E0
3.099834076E0,-3.447650373E-1,-2.111685991E0,9.809044838E0
3.109874305E0,-3.303998411E-1,-2.078166962E0,9.959878922E0
3.119914533E0,-2.944868207E-1,-2.063801765E0,9.943120003E0
3.129985279E0,-2.992752194E-1,-2.054224968E0,9.727641106E0
3.140025507E0,-2.825157940E-1,-2.032677174E0,9.414001465E0
3.150096253E0,-2.920926213E-1,-1.980004787E0,9.260771751E0
3.160136482E0,-3.375824392E-1,-1.929726601E0,9.337387085E0
3.170207228E0,-3.280056417E-1,-1.898601890E0,9.624691010E0
3.180247456E0,-3.088520169E-1,-1.881842494E0,1.011310768E1
3.190318202E0,-3.184288144E-1,-1.833958507E0,1.015141487E1
3.200358430E0,-2.370259613E-1,-1.810016513E0,1.018972206E1
3.210429176E0,-3.256114423E-1,-1.759738207E0,1.008916569E1
3.220469404E0,-2.801215947E-1,-1.719036818E0,9.991003990E0
3.230509633E0,-3.471592367E-1,-1.697489023E0,9.914389610E0
3.240580379E0,-3.303998411E-1,-1.647210717E0,9.780313492E0
3.250651125E0,-3.303998411E-1,-1.623268723E0,9.765948296E0
3.260691353E0,-3.519476354E-1,-1.546654344E0,9.672574997E0
3.270731581E0,-2.944868207E-1,-1.517923832E0,9.629479408E0
3.280802327E0,-3.423708379E-1,-1.474828243E0,9.595960617E0
3.290842556E0,-3.232172430E-1,-1.438915253E0,9.600749016E0
3.300913302E0,-3.519476354E-1,-1.398213744E0,9.591172218E0
3.310953530E0,-3.663128614E-1,-1.412579060E0,9.622296333E0
3.321024276E0,-3.639186621E-1,-1.395819545E0,9.674968719E0
3.331064504E0,-3.423708379E-1,-1.398213744E0,9.821015358E0
3.341135250E0,-3.303998411E-1,-1.381454349E0,9.904812813E0
3.351175478E0,-3.471592367E-1,-1.400607944E0,9.991003990E0
3.361246224E0,-3.280056417E-1,-1.419761658E0,9.926360130E0
3.371286453E0,-3.351882398E-1,-1.441309452E0,9.734824181E0
3.381357199E0,-3.303998411E-1,-1.426944256E0,9.622296333E0
3.391397427E0,-3.423708379E-1,-1.403002143E0,9.634267807E0
3.401468173E0,-3.423708379E-1,-1.376665950E0,9.758766174E0
3.411508401E0,-3.040636182E-1,-1.328781962E0,9.847352028E0
3.421579147E0,-2.849099934E-1,-1.285686255E0,9.856928825E0
3.431619376E0,-2.944868207E-1,-1.240196466E0,9.830592155E0
3.441690122E0,-2.777273953E-1,-1.237802267E0,9.818621635E0
3.451730350E0,-2.873041928E-1,-1.223437071E0,9.806650162E0
3.461801096E0,-2.896983922E-1,-1.177947283E0,9.799467087E0
3.471841324E0,-3.064578176E-1,-1.094150186E0,9.835380554E0
3.481912070E0,-3.088520169E-1,-1.070208192E0,9.856928825E0
3.491952299E0,-3.447650373E-1,-1.019929886E0,9.888052940E0
3.502023045E0,-3.423708379E-1,-9.864110947E-1,9.895236015E0
3.512063273E0,-3.232172430E-1,-9.888052940E-1,9.926360130E0
