"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.465788517E0,-3.239631653E-3,-3.916382790E-3,5.695247650E-2
1.475798282E0,1.004123688E-2,7.299423218E-3,1.857662201E-2
1.485838566E0,-2.825814486E-2,2.302122116E-2,-3.844165802E-2
1.495848331E0,-4.183411598E-3,2.891826630E-2,-9.001731873E-3
1.505858097E0,-9.355127811E-3,-2.708554268E-3,-3.221035004E-2
1.515898380E0,-1.453882456E-2,2.798831463E-2,-1.255893707E-2
1.525908146E0,-1.557442546E-2,6.137371063E-3,1.154899597E-2
1.535917911E0,-4.055514932E-2,3.148853779E-2,2.587699890E-2
1.545958195E0,-5.970889330E-2,-5.915045738E-3,-4.077720642E-2
1.555967960E0,-2.327978611E-3,1.375889778E-2,4.025745392E-2
1.566008243E0,2.916306257E-3,2.346932888E-2,2.556037903E-2
1.576018009E0,-1.540887356E-2,9.777903557E-3,2.019691467E-2
1.586058292E0,-1.420962811E-2,-1.763308048E-2,3.899288177E-2
1.596068058E0,-8.731126785E-3,3.173339367E-2,1.497650146E-2
1.606077823E0,1.032537222E-2,2.438163757E-2,-2.294921875E-2
1.616087589E0,1.023179293E-2,3.721392155E-2,-1.279163361E-2
1.626127872E0,1.908016205E-2,-1.611614227E-2,1.948356628E-3
1.636168156E0,2.320244908E-2,-2.551090717E-2,2.473831177E-3
1.646177921E0,-5.460441113E-3,-2.594470978E-2,1.264190674E-2
1.656279239E0,1.866492629E-2,-4.998493195E-2,3.459930420E-3
1.671171818E0,9.906291962E-5,-2.987146378E-2,1.833057404E-2
1.681181583E0,-3.770184517E-2,-2.247786522E-2,2.774620056E-2
1.691252384E0,1.384019852E-4,-1.387834549E-3,3.712177277E-2
1.701262150E0,-5.027174950E-3,5.112528801E-3,-1.525306702E-2
1.711302433E0,-4.246890545E-2,2.622640133E-2,-4.296112061E-2
1.721312198E0,-3.689444065E-2,1.402461529E-2,-4.202270508E-2
1.731352482E0,6.342530251E-3,2.469182014E-3,1.113224030E-2
1.741362247E0,-3.165411949E-2,3.394627571E-2,-7.444381714E-3
1.751372013E0,-7.444083691E-3,2.700257301E-2,3.066635132E-2
1.761412296E0,-6.834387779E-3,2.475774288E-2,5.915641785E-2
1.771422062E0,-1.074063778E-2,3.744363785E-3,3.000354767E-2
1.781462345E0,5.151695013E-2,4.477906227E-2,2.036857605E-2
1.791472111E0,4.596418142E-2,-2.289628983E-2,-3.142356873E-2
1.801481876E0,2.159357071E-3,-3.983259201E-3,-2.108383179E-2
1.811522159E0,1.149076223E-2,2.492141724E-2,-5.790710449E-2
1.821531925E0,-7.559061050E-3,7.506608963E-3,-7.955074310E-2
1.831572208E0,-2.637338638E-2,2.944016457E-2,-2.531147003E-2
1.841581974E0,-2.243399620E-3,-1.937925816E-2,4.190444946E-3
1.851622257E0,-1.177889109E-2,-1.855373383E-3,5.722522736E-2
1.861632023E0,-1.697391272E-2,-1.953005791E-2,8.527469635E-2
1.871672306E0,-3.091317415E-2,-1.512050629E-3,1.172170639E-1
1.881682072E0,-2.463638783E-3,4.156041145E-2,1.484184265E-1
1.891691837E0,-2.336621284E-3,2.942192554E-2,1.172838211E-1
1.901701603E0,1.237398386E-2,6.355118752E-2,1.575088501E-2
1.911711368E0,2.287286520E-2,3.152191639E-2,-8.370113373E-2
1.921751652E0,3.792518377E-2,5.342054367E-2,-1.675014496E-1
1.931791935E0,3.388744593E-2,6.769347191E-2,-1.596326828E-1
1.941801700E0,-8.781850338E-3,2.733492851E-2,-8.995342255E-2
1.951841984E0,-8.858680725E-3,1.207411289E-2,2.042770386E-3
1.961851749E0,-2.384757996E-2,1.546251774E-2,6.872558594E-2
1.971861515E0,2.259141207E-2,-5.333232880E-2,9.615612030E-2
1.981871281E0,-2.772450447E-3,-8.919835091E-3,7.573127747E-2
1.991911564E0,-2.773588896E-2,-1.811707020E-2,3.658008575E-2
2.001921329E0,-2.346313000E-2,4.606246948E-4,3.110313416E-2
2.011931095E0,-4.845798016E-3,-9.194493294E-3,-2.573013306E-3
2.021971378E0,-1.476386189E-2,-3.252637386E-2,-1.181602478E-2
2.031981144E0,-9.969741106E-3,-1.201653481E-2,-5.390930176E-2
2.041990909E0,-5.472213030E-3,-2.374911308E-2,-6.698226929E-2
2.052031193E0,1.321473718E-2,3.097534180E-3,3.361606598E-2
2.062071476E0,-7.134050131E-3,1.513421535E-2,7.103347778E-2
2.072081241E0,-7.905244827E-3,-1.174259186E-2,5.558490753E-2
2.082091007E0,-4.105472565E-2,-1.515328884E-2,2.172946930E-2
2.092131290E0,-4.912438989E-2,-8.688807487E-3,-6.376361847E-2
2.102141056E0,-2.360904217E-2,-1.528620720E-3,-9.069061279E-2
2.112181339E0,6.260454655E-3,2.915263176E-3,-9.821510315E-2
2.122191105E0,6.237626076E-3,2.244794369E-2,-3.931808472E-2
2.132231388E0,1.433116198E-2,2.308392525E-2,5.148696899E-2
2.147215519E0,-4.099696875E-2,1.685738564E-3,7.482719421E-2
2.157255802E0,1.009827852E-2,5.196213722E-3,2.197647095E-2
2.167296085E0,3.732186556E-2,-1.050913334E-2,3.180885315E-2
2.177305851E0,-2.014166117E-2,2.556169033E-2,-3.470230103E-2
2.187346134E0,8.692890406E-3,1.875746250E-2,-9.973526001E-3
2.197355900E0,-5.175262690E-3,1.698291302E-2,-5.669021606E-2
2.207365665E0,1.417383552E-2,-8.702635765E-3,1.287460327E-3
2.217375431E0,-1.486378908E-2,-1.530742645E-2,4.431724548E-2
2.227385197E0,-9.585618973E-4,-1.743483543E-2,2.455043793E-2
2.237425480E0,-2.995309234E-2,-1.049375534E-2,5.706882477E-2
2.247435245E0,-1.616400480E-2,5.411982536E-3,-1.438426971E-2
2.257475529E0,-5.376246572E-2,3.577446938E-2,-4.244041443E-2
2.267485294E0,-1.009207964E-2,9.587168694E-3,-4.604816437E-2
2.277525577E0,5.275785923E-3,2.731525898E-2,-7.302951813E-2
2.287535343E0,5.669862032E-3,-1.846671104E-3,-5.274200439E-2
2.297545109E0,3.430142999E-2,7.985115051E-3,-6.532669067E-2
2.307585392E0,2.362039685E-2,-1.348376274E-3,-1.183986664E-2
2.317595157E0,3.188383579E-2,-3.000438213E-2,-2.049446106E-2
2.327604923E0,2.573531866E-2,-1.632583141E-2,-6.742477417E-4
2.337645206E0,1.548236609E-2,2.442514896E-2,-5.041122437E-3
2.347654972E0,-3.211590648E-2,-3.068053722E-2,2.855587006E-2
2.357695255E0,-3.142535686E-3,-5.620121956E-3,4.706192017E-2
2.367705021E0,-1.711934805E-2,3.955125809E-3,3.681945801E-2
2.377714786E0,1.152220368E-2,-1.582670212E-2,3.149414062E-2
2.387755070E0,-2.672016621E-2,5.490112305E-2,-1.173019409E-2
2.397764835E0,-2.647861838E-2,3.512430191E-2,-6.847000122E-2
2.407805118E0,-4.547470808E-2,4.061233997E-2,-3.412723541E-2
2.417814884E0,-3.561550379E-2,5.161213875E-2,-1.915740967E-2
2.427824650E0,2.586334944E-3,5.837571621E-2,2.409458160E-2
2.437864933E0,-2.606207132E-2,-1.077866554E-2,6.046295166E-4
2.447874698E0,-3.017988801E-2,-3.136277199E-3,2.935504913E-2
2.457884464E0,1.828277111E-2,-4.765510559E-3,3.858280182E-2
2.467924747E0,4.191988707E-2,-3.458690643E-2,-1.387023926E-2
2.477934513E0,6.487759948E-2,-4.998612404E-2,-1.344871521E-2
2.487944279E0,1.775741577E-3,-2.757930756E-2,-3.350257874E-3
2.497984562E0,1.096341014E-2,-1.006972790E-2,-6.894207001E-2
2.507994327E0,2.018168569E-2,-1.143515110E-2,-1.950693130E-1
2.518004093E0,1.494023204E-2,-2.137553692E-2,-8.722114563E-2
2.528044376E0,-3.282201290E-2,-3.048920631E-2,-3.766250610E-2
2.538084659E0,4.777610302E-4,2.266764641E-3,5.324459076E-2
2.548094425E0,-2.814546227E-2,-3.858923912E-2,1.897764206E-1
2.558104191E0,-3.729620576E-2,-1.070654392E-2,1.814117432E-1
2.568144474E0,-2.185872197E-2,1.877474785E-2,1.967897415E-1
2.578154239E0,-2.970874310E-2,2.196526527E-2,1.219635010E-1
2.588255558E0,-4.617884755E-2,8.647429943E-2,1.026916504E-2
2.598265323E0,-2.874135971E-2,6.174159050E-2,-1.857471466E-2
2.613157902E0,3.181028366E-2,6.285202503E-2,-1.068830490E-1
2.623198185E0,1.378214359E-2,8.306431770E-2,-1.237535477E-1
2.633299503E0,4.387378693E-3,6.802296638E-2,-1.021814346E-1
2.643309269E0,-2.527099848E-2,3.568184376E-2,4.261016846E-3
2.653319034E0,-1.682305336E-2,1.815843582E-2,4.279994965E-2
2.663359318E0,9.831964970E-3,1.914393902E-2,3.809261322E-2
2.673399601E0,-1.995378733E-2,-2.415788174E-2,4.730033875E-2
2.683409366E0,-2.544227242E-2,-2.555358410E-2,9.413623810E-2
2.693419132E0,-6.503105164E-3,-5.132937431E-2,3.621578217E-2
2.703459415E0,-4.426863790E-2,-3.930509090E-2,5.956459045E-2
2.713469181E0,-1.081764698E-3,-4.627215862E-2,2.122974396E-2
2.723509464E0,-1.508116722E-3,-9.561777115E-3,-7.212638855E-3
2.733519230E0,-2.636969090E-3,-1.948630810E-2,-6.618499756E-3
2.743528995E0,3.800624609E-2,-9.980440140E-3,1.323509216E-2
2.753569279E0,1.763552427E-3,-4.857420921E-3,1.355838776E-2
2.763579044E0,-4.732114077E-2,-9.744644165E-3,-5.175590515E-3
2.773588810E0,-2.342429757E-2,2.255332470E-2,-4.256343842E-2
2.783598575E0,5.514472723E-3,-6.765723228E-3,-9.335327148E-2
2.793638859E0,-1.313388348E-2,3.108739853E-3,-1.570825577E-1
2.803648624E0,6.185263395E-3,2.393591404E-2,-1.157712936E-1
2.813688907E0,1.954868436E-2,-6.849288940E-3,-4.181289673E-2
2.823698673E0,-6.780356169E-3,-5.212306976E-3,2.587985992E-2
2.833708439E0,-2.349001169E-2,-2.236366272E-4,5.441665649E-2
2.843748722E0,3.051161766E-3,-2.293229103E-3,6.321430206E-2
2.853758488E0,-3.141790628E-3,-1.582992077E-2,8.589553833E-2
2.863798771E0,-2.223554254E-2,1.257014275E-2,3.704833984E-2
2.873808536E0,7.043659687E-3,1.667189598E-2,1.265716553E-2
2.883848820E0,-2.500799298E-2,6.356966496E-2,-2.057647705E-2
2.893858585E0,-3.342109919E-2,2.020561695E-2,-2.952194214E-2
2.903868351E0,-2.863153815E-2,3.045558929E-2,-5.353927612E-3
