"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.285134995E0,-3.722131252E-3,1.110708714E-2,-1.423931122E-2
2.301126206E0,-5.273786187E-2,-3.204724193E-2,8.182716370E-2
2.317086899E0,-5.119243264E-2,-8.134591579E-2,1.203880310E-1
2.333078110E0,-1.681511104E-2,-1.140085459E-1,1.157846451E-1
2.349069321E0,1.645119488E-2,-1.255535483E-1,2.012157440E-2
2.365030014E0,5.187547207E-2,-9.673443437E-2,-4.442214966E-2
2.381051743E0,4.058998823E-2,-7.106539607E-2,1.078224182E-2
2.397012436E0,8.442476392E-3,-9.900629520E-4,4.687023163E-2
2.413003647E0,-2.360859513E-2,1.696461439E-2,3.988552094E-2
2.428994858E0,-5.755394697E-3,3.336378932E-2,8.082675934E-2
2.444955551E0,2.562581003E-2,2.213263512E-2,5.958271027E-2
2.460885727E0,1.090358198E-2,-3.834009171E-3,-5.493545532E-2
2.476846420E0,-6.599068642E-3,-3.160259128E-2,-1.046686172E-1
2.492837631E0,-1.434823871E-2,-4.488578439E-2,7.316970825E-2
2.508798325E0,-1.258492470E-3,-4.742503166E-2,1.982746124E-1
2.524820053E0,3.976899385E-2,-6.604415178E-2,1.340389252E-1
2.540750229E0,7.283748686E-2,-6.316453218E-2,-5.239200592E-2
2.556710922E0,5.495485663E-2,-6.250989437E-2,-1.334047318E-1
2.572671616E0,-4.602497816E-2,-5.651819706E-2,-1.376247406E-1
2.588632309E0,-6.524106115E-2,-4.657369852E-2,2.029600143E-1
2.604593002E0,-2.968285978E-2,-2.846857905E-2,5.169906616E-1
2.620614731E0,4.841057956E-2,-2.062648535E-2,1.937026978E-1
2.636575424E0,4.668992758E-2,-3.034788370E-2,-2.662000656E-1
2.652536118E0,5.839064717E-3,-4.836690426E-2,-1.631898880E-1
2.668527329E0,-9.042149782E-2,-2.991059422E-2,-8.611679077E-2
2.684488022E0,-5.348517001E-2,2.609670162E-3,-2.122135162E-1
2.700509750E0,6.634622812E-2,8.097469807E-3,3.227109909E-1
2.716439926E0,1.003336459E-1,-3.280067444E-2,3.139543533E-1
2.732400620E0,2.366280556E-2,-7.024043798E-2,-2.264518738E-1
2.748391831E0,-2.455924451E-2,-5.285274982E-2,-2.142095566E-1
2.764352524E0,-3.196239471E-2,6.073355675E-3,2.748632431E-1
2.780374252E0,-1.932246983E-2,2.736192942E-2,5.076007843E-1
2.796334946E0,-8.453816175E-3,1.405912638E-2,3.712158203E-1
2.812295639E0,-9.675249457E-3,-1.526194811E-2,-7.220840454E-2
2.828256333E0,1.178692281E-2,-1.748746634E-2,-2.904920578E-1
2.844217026E0,1.402537525E-2,-5.098998547E-2,-2.162675858E-1
2.860238754E0,-2.038002014E-3,-6.019622087E-2,4.503536224E-2
2.876199448E0,8.469104767E-3,-8.590614796E-2,2.776203156E-1
2.892160141E0,-2.322125435E-2,-1.164772511E-1,2.225980759E-1
2.908151352E0,-1.272369921E-2,-1.189548969E-1,1.413726807E-2
2.924112045E0,-2.328719199E-2,-6.279313564E-2,-1.056756973E-1
2.940133774E0,-8.910089731E-3,9.306132793E-3,-3.369235992E-2
2.956094467E0,9.865462780E-3,3.602945805E-2,1.030941010E-1
2.972055161E0,-9.863734245E-3,6.520068645E-2,8.661460876E-2
2.988046372E0,-5.662232637E-3,2.612453699E-2,-1.133728027E-2
3.004007065E0,-2.610562742E-2,-5.599492788E-2,-2.912302017E-1
3.020028793E0,4.924805462E-2,-8.358716965E-2,-7.301330566E-2
3.035989487E0,3.445544839E-2,-1.106055975E-1,4.850549698E-1
3.051950180E0,1.521174610E-2,-9.614169598E-2,5.109109879E-1
3.067941391E0,2.139116824E-2,-4.283797741E-2,1.987028122E-1
3.083902084E0,1.473043859E-2,2.840489149E-2,-1.996831894E-1
3.099923813E0,-3.010524809E-2,9.154388309E-2,-3.198175430E-1
3.115884506E0,-5.196556449E-2,7.312291861E-2,-8.319911957E-1
3.131845200E0,-1.634155214E-2,6.855171919E-2,5.212631226E-1
3.147805893E0,-5.215722322E-2,-3.093326092E-2,-3.496427536E-1
3.163797104E0,1.369932294E-2,-1.274943352E-1,4.360170364E-1
3.179727280E0,-2.910235524E-2,-1.307663918E-1,-1.408996582E-1
3.195687973E0,5.262285471E-3,-1.921797991E-1,-1.912870407E-1
3.211679184E0,-2.281740308E-2,-1.044315696E-1,-4.594993591E-1
3.227639877E0,2.019174397E-2,-2.492910624E-2,5.049705505E-2
3.243631088E0,-1.249539852E-2,3.219008446E-2,2.131662369E-1
3.259591782E0,-2.697205544E-2,6.013673544E-2,2.032585144E-1
3.275552475E0,-3.486213088E-2,4.809522629E-2,3.520584106E-2
3.291543686E0,-7.117226720E-3,3.927975893E-2,-1.901111603E-1
3.307565415E0,1.354111731E-2,2.749133110E-2,-2.330408096E-1
3.323556625E0,-8.125588298E-3,5.272805691E-3,-7.414817810E-3
3.339517319E0,-4.306145012E-2,-6.171882153E-3,2.444639206E-1
3.355539047E0,-4.010111094E-2,-1.251327991E-2,3.354845047E-1
3.371469223E0,-2.201025188E-2,-6.960523129E-2,2.511129379E-1
3.387490952E0,2.001242340E-2,-7.506364584E-2,7.542991638E-2
3.403421127E0,2.513243258E-2,-5.410194397E-2,-1.313314438E-1
3.419320786E0,-1.104459167E-3,-1.593452692E-2,-2.395725250E-1
3.435281479E0,-2.359183133E-2,3.197062016E-2,-1.678161621E-1
3.451242172E0,-2.438560128E-2,4.839617014E-2,1.675014496E-1
3.467202866E0,-2.307163179E-2,3.610962629E-2,4.619455338E-1
3.483224594E0,-2.311475575E-2,-3.093886375E-2,2.220010757E-1
3.499154770E0,-9.949520230E-3,-5.378121138E-2,-1.737308502E-1
3.515115463E0,-4.697926342E-2,-6.205588579E-2,-1.382312775E-1
3.531106674E0,-6.036968529E-2,-2.427434921E-2,-2.028770447E-1
3.547067368E0,1.417076588E-2,5.199632049E-2,-2.240715027E-1
3.563028061E0,9.347188473E-2,6.338188052E-2,4.898729324E-1
3.579049790E0,1.055247039E-1,-5.187630653E-3,4.970636368E-1
3.595010483E0,9.642675519E-3,-7.364404202E-2,-1.835012436E-1
3.610971176E0,-4.589785635E-2,-6.753581762E-2,-3.492879868E-1
3.626931870E0,-9.079092741E-2,-2.809259295E-2,6.713485718E-2
3.642892563E0,-7.149796933E-2,5.002173781E-2,4.095783234E-1
3.658914291E0,-2.769786119E-2,7.376018167E-2,3.998270035E-1
3.674874985E0,2.251745760E-2,6.117740273E-2,-7.767677307E-3
3.690835678E0,9.309425950E-3,3.071415424E-2,-2.718172073E-1
3.706826889E0,-3.354267776E-2,-3.499493003E-2,-1.860227585E-1
3.722787583E0,-7.379132509E-2,-8.058461547E-2,4.134750366E-2
